Rk,Coach,Yrs,From,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%.1,AvRk,BstRk,Chmp,SBwl,Conf
119,John McKay,9,1976,1984,133,44,88,1,0.335,-44,3.0,4.0,1.0,3.0,0.25,3.6,1,0.0,0.0,0.0
120,Charley Winner,7,1966,1975,93,44,44,5,0.5,0,0.0,0.0,0.0,0.0,,3.3,2,0.0,0.0,0.0
121,Todd Bowles,7,2011,2023,101,43,58,0,0.426,-15,2.0,3.0,1.0,2.0,0.333,2.7,1,0.0,0.0,0.0
122,Dan Quinn,6,2015,2020,85,43,42,0,0.506,1,2.0,5.0,3.0,2.0,0.6,2.3,1,0.0,0.0,1.0
123,Joe Schmidt+,6,1967,1972,84,43,34,7,0.558,9,1.0,1.0,0.0,1.0,0.0,2.5,2,0.0,0.0,0.0
124,Ray Perkins,8,1979,1990,117,42,75,0,0.359,-33,1.0,2.0,1.0,1.0,0.5,3.8,2,0.0,0.0,0.0
125,Frank Reich,6,2018,2023,85,41,43,1,0.488,-2,2.0,3.0,1.0,2.0,0.333,2.7,2,0.0,0.0,0.0
126,Dennis Erickson,6,1995,2004,96,40,56,0,0.417,-16,0.0,0.0,0.0,0.0,,3.5,3,0.0,0.0,0.0
127,Rich Kotite,6,1991,1996,96,40,56,0,0.417,-16,1.0,2.0,1.0,1.0,0.5,3.7,2,0.0,0.0,0.0
128,Red Miller,4,1977,1980,62,40,22,0,0.645,18,3.0,5.0,2.0,3.0,0.4,2.0,1,0.0,0.0,1.0
129,John Rauch,5,1966,1970,70,40,28,2,0.588,12,2.0,4.0,2.0,2.0,0.5,2.2,1,0.0,0.0,1.0
130,Barry Switzer,4,1994,1997,64,40,24,0,0.625,16,3.0,7.0,5.0,2.0,0.714,1.8,1,1.0,1.0,1.0
131,Brad Childress,5,2006,2010,74,39,35,0,0.527,4,2.0,3.0,1.0,2.0,0.333,2.2,1,,,
132,Jim Hanifan,7,1980,1989,93,39,53,1,0.425,-14,1.0,1.0,0.0,1.0,0.0,3.9,3,0.0,0.0,0.0
133,Walt Michaels,6,1977,1982,87,39,47,1,0.454,-8,2.0,4.0,2.0,2.0,0.5,3.3,2,0.0,0.0,0.0
134,Dan Henning,7,1983,1991,112,38,73,1,0.344,-35,0.0,0.0,0.0,0.0,,4.1,3,0.0,0.0,0.0
135,Doug Marrone,7,2013,2020,98,38,60,0,0.388,-22,1.0,3.0,2.0,1.0,0.667,3.3,1,0.0,0.0,0.0
136,Ray Rhodes,5,1995,1999,80,37,42,1,0.469,-5,2.0,3.0,1.0,2.0,0.333,3.2,2,0.0,0.0,0.0
137,Kevin Stefanski,4,2020,2023,67,37,30,0,0.552,7,2.0,3.0,1.0,2.0,0.333,3.0,2,0.0,0.0,0.0
138,Zac Taylor,5,2019,2023,82,37,44,1,0.457,-7,2.0,7.0,5.0,2.0,0.714,2.8,1,0.0,0.0,1.0
139,Lindy Infante,6,1988,1997,96,36,60,0,0.375,-24,1.0,1.0,0.0,1.0,0.0,3.8,2,0.0,0.0,0.0
140,Mike Mularkey,6,2004,2017,89,36,53,0,0.404,-17,1.0,2.0,1.0,1.0,0.5,3.0,2,0.0,0.0,0.0
141,Jay Gruden,6,2014,2019,85,35,49,1,0.418,-14,1.0,1.0,0.0,1.0,0.0,3.0,1,0.0,0.0,0.0
142,Jack Patera,7,1976,1982,94,35,59,0,0.372,-24,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
143,Tommy Prothro,7,1971,1978,88,35,51,2,0.408,-16,0.0,0.0,0.0,0.0,,3.3,2,0.0,0.0,0.0
144,Marion Campbell,9,1974,1989,115,34,80,1,0.3,-46,0.0,0.0,0.0,0.0,,3.9,3,0.0,0.0,0.0
145,Chan Gailey,5,1998,2012,80,34,46,0,0.425,-12,2.0,2.0,0.0,2.0,0.0,3.0,1,0.0,0.0,0.0
146,Tommy Hughitt,5,1920,1924,56,34,15,7,0.694,19,0.0,0.0,0.0,0.0,,6.2,2,0.0,0.0,0.0
147,Matt Nagy,4,2018,2021,65,34,31,0,0.523,3,2.0,2.0,0.0,2.0,0.0,2.3,1,0.0,0.0,0.0
148,John Ralston,5,1972,1976,70,34,33,3,0.507,1,0.0,0.0,0.0,0.0,,2.4,2,0.0,0.0,0.0
149,Nick Sirianni,3,2021,2023,51,34,17,0,0.667,17,3.0,5.0,2.0,3.0,0.4,1.7,1,,,1.0
150,Anthony Lynn,5,2016,2020,65,33,32,0,0.508,1,1.0,2.0,1.0,1.0,0.5,2.8,2,0.0,0.0,0.0
151,Eric Mangini,5,2006,2010,80,33,47,0,0.413,-14,1.0,1.0,0.0,1.0,0.0,3.0,2,0.0,0.0,0.0
152,Dick Rauch,5,1925,1929,60,33,24,3,0.579,9,0.0,0.0,0.0,0.0,,4.8,2,0.0,0.0,0.0
153,Romeo Crennel,7,2005,2020,95,32,63,0,0.337,-31,0.0,0.0,0.0,0.0,,3.6,2,0.0,0.0,0.0
154,Adam Gase,5,2016,2020,80,32,48,0,0.4,-16,1.0,1.0,0.0,1.0,0.0,2.8,2,0.0,0.0,0.0
155,Pop Ivy,6,1958,1963,76,32,42,2,0.432,-10,1.0,1.0,0.0,1.0,0.0,3.8,1,0.0,0.0,0.0
156,Tony Sparano,5,2008,2014,73,32,41,0,0.438,-9,1.0,1.0,0.0,1.0,0.0,2.8,1,0.0,0.0,0.0
157,Mike Tice,5,2001,2005,65,32,33,0,0.492,-1,1.0,2.0,1.0,1.0,0.5,2.4,2,,,
158,Paddy Driscoll+,5,1920,1957,53,31,17,5,0.646,14,1.0,1.0,0.0,1.0,0.0,4.2,1,0.0,0.0,0.0
159,Jim Mora,4,2004,2009,64,31,33,0,0.484,-2,1.0,2.0,1.0,1.0,0.5,2.5,1,0.0,0.0,0.0
160,Neill Armstrong,4,1978,1981,64,30,34,0,0.469,-4,1.0,1.0,0.0,1.0,0.0,3.5,2,0.0,0.0,0.0
161,Dutch Clark+,6,1937,1942,66,30,34,2,0.469,-4,0.0,0.0,0.0,0.0,,3.3,2,0.0,0.0,0.0
162,Walt Kiesling+,9,1939,1956,90,30,55,5,0.353,-25,0.0,0.0,0.0,0.0,,4.1,2,0.0,0.0,0.0
163,John Mackovic,4,1983,1986,64,30,34,0,0.469,-4,1.0,1.0,0.0,1.0,0.0,4.0,2,0.0,0.0,0.0
164,Dan Campbell,4,2015,2023,63,29,33,1,0.468,-4,1.0,3.0,2.0,1.0,0.667,2.8,1,,,
165,Mike McCormack+,6,1973,1982,81,29,51,1,0.364,-22,0.0,0.0,0.0,0.0,,3.8,3,0.0,0.0,0.0
166,Jim Schwartz,5,2009,2013,80,29,51,0,0.363,-22,1.0,1.0,0.0,1.0,0.0,3.2,2,0.0,0.0,0.0
167,Alex Webster,5,1969,1973,70,29,40,1,0.421,-11,0.0,0.0,0.0,0.0,,3.4,2,,,
168,Chip Kelly,4,2013,2016,63,28,35,0,0.444,-7,1.0,1.0,0.0,1.0,0.0,2.3,1,0.0,0.0,0.0
169,Kliff Kingsbury,4,2019,2022,66,28,37,1,0.432,-9,1.0,1.0,0.0,1.0,0.0,3.3,2,0.0,0.0,0.0
170,Don McCafferty,4,1970,1973,47,28,17,2,0.62,11,2.0,5.0,4.0,1.0,0.8,2.0,1,1.0,1.0,1.0
171,Jock Sutherland,4,1940,1947,45,28,16,1,0.636,12,1.0,1.0,0.0,1.0,0.0,2.0,1,0.0,0.0,0.0
172,Vince Tobin,5,1996,2000,71,28,43,0,0.394,-15,1.0,2.0,1.0,1.0,0.5,4.0,2,0.0,0.0,0.0
173,Red Hickey,5,1959,1963,55,27,27,1,0.5,0,0.0,0.0,0.0,0.0,,4.4,2,0.0,0.0,0.0
174,Mike McCoy,4,2013,2016,64,27,37,0,0.422,-10,1.0,2.0,1.0,1.0,0.5,3.3,2,0.0,0.0,0.0
175,Jack Christiansen+,5,1963,1967,67,26,38,3,0.406,-12,0.0,0.0,0.0,0.0,,5.0,3,0.0,0.0,0.0
176,Dudley DeGroot,4,1944,1947,45,26,16,3,0.619,10,1.0,1.0,0.0,1.0,0.0,2.5,1,0.0,0.0,0.0
177,Joe Philbin,5,2012,2018,56,26,30,0,0.464,-4,0.0,0.0,0.0,0.0,,3.0,2,0.0,0.0,0.0
178,Hampton Pool,5,1946,1954,47,26,19,2,0.578,7,1.0,1.0,0.0,1.0,0.0,3.4,2,0.0,0.0,0.0
179,Dan Devine,4,1971,1974,56,25,27,4,0.481,-2,1.0,1.0,0.0,1.0,0.0,2.8,1,0.0,0.0,0.0
180,Jim Trimble,4,1952,1955,48,25,20,3,0.556,5,0.0,0.0,0.0,0.0,,2.5,2,0.0,0.0,0.0
181,Dennis Allen,5,2012,2023,70,24,46,0,0.343,-22,0.0,0.0,0.0,0.0,,3.2,2,,,
182,Joe Bugel,5,1990,1997,80,24,56,0,0.3,-32,0.0,0.0,0.0,0.0,,4.6,4,0.0,0.0,0.0
183,Butch Davis,4,2001,2004,59,24,35,0,0.407,-11,1.0,1.0,0.0,1.0,0.0,3.3,2,,,
184,Brian Flores,3,2019,2021,49,24,25,0,0.49,-1,,,,,,3.0,2,0.0,0.0,0.0
185,Ralph Jones,3,1930,1932,41,24,10,7,0.706,14,0.0,0.0,0.0,0.0,,2.3,1,1.0,0.0,0.0
186,Brandon Staley,3,2021,2023,48,24,24,0,0.5,0,1.0,1.0,0.0,1.0,0.0,3.0,2,,,
187,Red Strader,4,1948,1955,46,24,22,0,0.522,2,1.0,1.0,0.0,1.0,0.0,3.5,3,0.0,0.0,0.0
188,Hunk Anderson,4,1942,1945,36,23,11,2,0.676,12,2.0,2.0,1.0,1.0,0.5,2.0,1,1.0,0.0,0.0
189,Al Davis+,3,1963,1965,42,23,16,3,0.59,7,0.0,0.0,0.0,0.0,,2.3,2,0.0,0.0,0.0
190,Luke Johnsos,4,1942,1945,36,23,11,2,0.676,12,2.0,2.0,1.0,1.0,0.5,2.0,1,1.0,0.0,0.0
191,Gene Stallings,4,1986,1989,58,23,34,1,0.405,-11,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
192,June Jones,4,1994,1998,58,22,36,0,0.379,-14,1.0,1.0,0.0,1.0,0.0,3.5,2,0.0,0.0,0.0
193,Mike Munchak+,3,2011,2013,48,22,26,0,0.458,-4,0.0,0.0,0.0,0.0,,2.3,2,,,
194,Gregg Williams,4,2001,2018,56,22,34,0,0.393,-12,0.0,0.0,0.0,0.0,,3.8,3,0.0,0.0,0.0
195,Joe Bach,4,1935,1953,48,21,27,0,0.438,-6,0.0,0.0,0.0,0.0,,3.3,2,0.0,0.0,0.0
